# Index r11 r12 r13 tx r21 r22 r23 ty r31 r32 r33 tz 0 0 0 1
171 -0.632252 0.771556 0.070403 -0.014810 0.772150 0.620060 0.138950 0.052773 0.063554 0.142213 -0.987793 0.218029 0 0 0 1
172 -0.684924 0.725204 0.070403 -0.015083 0.726654 0.672804 0.138950 0.053103 0.053400 0.146329 -0.987793 0.218072 0 0 0 1
173 -0.644989 0.760901 0.070832 -0.015349 0.762080 0.633555 0.133567 0.053381 0.056755 0.140129 -0.988504 0.218110 0 0 0 1
174 -0.519932 0.851193 0.071689 -0.015607 0.850958 0.508816 0.130285 0.053682 0.074421 0.128744 -0.988880 0.218151 0 0 0 1
175 -0.773580 0.628760 0.078946 -0.015800 0.633383 0.763247 0.127587 0.053992 0.019966 0.148702 -0.988679 0.218199 0 0 0 1
176 -0.681397 0.727705 0.078372 -0.016068 0.731248 0.672303 0.115251 0.054207 0.031179 0.135841 -0.990239 0.218227 0 0 0 1
177 -0.595947 0.799107 0.079203 -0.016320 0.802047 0.587459 0.107751 0.054473 0.039576 0.127738 -0.991017 0.218262 0 0 0 1
178 -0.517331 0.852111 0.079203 -0.016578 0.854231 0.508603 0.107751 0.054816 0.051533 0.123401 -0.991017 0.218301 0 0 0 1
179 -0.468748 0.879099 0.086364 -0.016762 0.881850 0.460062 0.103350 0.055116 0.051123 0.124605 -0.990888 0.218339 0 0 0 1
180 -0.524783 0.845732 0.096638 -0.016914 0.850635 0.516762 0.096820 0.055396 0.031945 0.133014 -0.990598 0.218373 0 0 0 1
181 -0.569071 0.815668 0.104128 -0.017092 0.822145 0.562038 0.090489 0.055681 0.015285 0.137103 -0.990438 0.218402 0 0 0 1
182 -0.446072 0.888163 0.110386 -0.017281 0.894652 0.439073 0.082530 0.055950 0.024833 0.135571 -0.990455 0.218422 0 0 0 1
183 -0.575342 0.808545 0.123429 -0.017401 0.817809 0.571075 0.071130 0.056186 -0.012975 0.141865 -0.989800 0.218442 0 0 0 1
184 -0.541973 0.831281 0.123429 -0.017650 0.840364 0.537334 0.071130 0.056537 -0.007193 0.142276 -0.989800 0.218448 0 0 0 1
185 -0.547850 0.826527 0.129270 -0.017840 0.836414 0.544201 0.065236 0.056830 -0.016430 0.143863 -0.989460 0.218449 0 0 0 1
186 -0.295674 0.945423 0.136929 -0.018010 0.955197 0.290613 0.056048 0.057092 0.013196 0.147366 -0.988993 0.218441 0 0 0 1
